horizon,model,feature_set,n,rmse,mae,r2
1,LightGBM,full_safe,216,4.428896170409993,3.1426905911131673,0.910507037141163
1,LightGBM,recycling_lags_plus_landfill,216,4.370994167579862,3.1429240221351358,0.9128317468802297
1,LightGBM,recycling_lags_only,216,4.456755554548127,3.207869491004514,0.9093776087847736
1,LightGBM,treatment_path,216,4.608190078416561,3.3790462336495466,0.9031145283556457
1,Ridge,recycling_lags_only,216,3.8935293249229272,2.693356777146777,0.9308352536247662
1,Ridge,recycling_lags_plus_landfill,216,4.101393487798179,2.9189961174789065,0.9232531138810864
1,Ridge,treatment_path,216,4.086781643314167,2.9245934875742527,0.9237989849192431
1,Ridge,full_safe,216,4.110915041596467,3.0153782469012462,0.922896358139482
2,LightGBM,full_safe,216,4.988614644859002,3.5975010443196402,0.8864576696858084
2,LightGBM,treatment_path,216,5.36862107248083,3.9452230280009277,0.8685007147985189
2,LightGBM,recycling_lags_plus_landfill,216,5.408427469114344,4.0055507590002,0.8665434454556281
2,LightGBM,recycling_lags_only,216,5.670167193980531,4.165551011843666,0.8533136782223817
2,Ridge,recycling_lags_only,216,5.182481081569528,3.6704724045461763,0.8774612800116378
2,Ridge,full_safe,216,5.124132063828255,3.8291432719416822,0.8802050481803761
2,Ridge,treatment_path,216,5.189428430524019,3.8506849884033336,0.8771325224722831
2,Ridge,recycling_lags_plus_landfill,216,5.264797629080054,3.900941798523568,0.8735376484737934
