threshold,tp,fp,tn,fn,precision,recall,f1,brier_score,auc,cutoff_year,horizon,method,feature_set
0.3,18,5,4,0,0.782608695652174,1.0,0.8780487804878049,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.35,18,5,4,0,0.782608695652174,1.0,0.8780487804878049,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.39999999999999997,18,5,4,0,0.782608695652174,1.0,0.8780487804878049,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.44999999999999996,18,4,5,0,0.8181818181818182,1.0,0.9,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.49999999999999994,18,2,7,0,0.9,1.0,0.9473684210526315,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.5499999999999999,18,2,7,0,0.9,1.0,0.9473684210526315,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.5999999999999999,18,2,7,0,0.9,1.0,0.9473684210526315,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.6499999999999999,18,2,7,0,0.9,1.0,0.9473684210526315,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.7,18,2,7,0,0.9,1.0,0.9473684210526315,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.7499999999999999,17,2,7,1,0.8947368421052632,0.9444444444444444,0.918918918918919,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.7999999999999998,17,2,7,1,0.8947368421052632,0.9444444444444444,0.918918918918919,0.093118669472803,0.9753086419753086,2021,4,LightGBM,full_safe
0.3,18,5,4,0,0.782608695652174,1.0,0.8780487804878049,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.35,18,4,5,0,0.8181818181818182,1.0,0.9,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.39999999999999997,18,3,6,0,0.8571428571428571,1.0,0.9230769230769231,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.44999999999999996,18,3,6,0,0.8571428571428571,1.0,0.9230769230769231,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.49999999999999994,18,3,6,0,0.8571428571428571,1.0,0.9230769230769231,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.5499999999999999,18,3,6,0,0.8571428571428571,1.0,0.9230769230769231,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.5999999999999999,18,2,7,0,0.9,1.0,0.9473684210526315,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.6499999999999999,18,2,7,0,0.9,1.0,0.9473684210526315,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.7,18,1,8,0,0.9473684210526315,1.0,0.972972972972973,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.7499999999999999,18,1,8,0,0.9473684210526315,1.0,0.972972972972973,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
0.7999999999999998,17,1,8,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0769916659670786,0.9814814814814814,2023,2,LightGBM,full_safe
