geo,country,target_year,predicted_recycling_rate,target_rate,predicted_gap,prediction_sigma,prediction_interval_lower,prediction_interval_upper,risk_probability,model,ec_eea_2025_risk_label
RO,Romania,2025,9.696681207667421,55,-45.303318792332576,4.964791874363302,0.0,19.427673281419494,1.0,LightGBM,1
MT,Malta,2025,14.6549359444436,55,-40.3450640555564,4.964791874363302,4.923943870691529,24.38592801819567,0.9999999999999998,LightGBM,1
EL,Greece,2025,17.077574254784803,55,-37.92242574521519,4.964791874363302,7.346582181032732,26.808566328536877,0.999999999999989,LightGBM,1
CY,Cyprus,2025,24.226478365923626,55,-30.773521634076374,4.964791874363302,14.495486292171554,33.957470439675696,0.9999999997147107,LightGBM,1
PT,Portugal,2025,28.968929233050314,55,-26.031070766949686,4.964791874363302,19.23793715929824,38.69992130680239,0.9999999210642467,LightGBM,1
BG,Bulgaria,2025,31.451974144259516,55,-23.548025855740484,4.964791874363302,21.720982070507446,41.182966218011586,0.9999989471374967,LightGBM,1
EE,Estonia,2025,35.33095733334973,55,-19.66904266665027,4.964791874363302,25.59996525959766,45.0619494071018,0.9999627918340006,LightGBM,1
HR,Croatia,2025,37.005068586928694,55,-17.994931413071306,4.964791874363302,27.274076513176624,46.736060660680764,0.9998552443704543,LightGBM,1
HU,Hungary,2025,37.65247416025016,55,-17.347525839749842,4.964791874363302,27.921482086498088,47.38346623400223,0.9997621769469346,LightGBM,1
SE,Sweden,2025,40.849425896138605,55,-14.150574103861395,4.964791874363302,31.118433822386535,50.580417969890675,0.9978153079775054,LightGBM,1
FR,France,2025,41.808076847530835,55,-13.191923152469165,4.964791874363302,32.077084773778765,51.539068921282905,0.9960591373377387,LightGBM,1
FI,Finland,2025,42.11863018278476,55,-12.881369817215237,4.964791874363302,32.38763810903269,51.84962225653683,0.9952641723396141,LightGBM,1
PL,Poland,2025,42.27189122282958,55,-12.72810877717042,4.964791874363302,32.54089914907751,52.00288329658165,0.9948214641650388,LightGBM,1
IE,Ireland,2025,42.34887240191449,55,-12.651127598085509,4.964791874363302,32.61788032816242,52.07986447566656,0.9945854965779752,LightGBM,1
ES,Spain,2025,44.971564327625785,55,-10.028435672374215,4.964791874363302,35.240572253873715,54.702556401377855,0.9783036685679227,LightGBM,1
CZ,Czechia,2025,45.67351175582142,55,-9.326488244178577,4.964791874363302,35.94251968206935,55.40450382957349,0.9698453454520529,LightGBM,0
LT,Lithuania,2025,47.19848850383354,55,-7.801511496166462,4.964791874363302,37.46749643008147,56.92948057758561,0.9419513190253898,LightGBM,1
LV,Latvia,2025,48.921893022538555,55,-6.078106977461445,4.964791874363302,39.190900948786485,58.652885096290625,0.8895695345080796,LightGBM,1
SK,Slovakia,2025,50.888826105817465,55,-4.111173894182535,4.964791874363302,41.157834032065395,60.619818179569535,0.796183355411642,LightGBM,1
DK,Denmark,2025,52.544451266997385,55,-2.4555487330026153,4.964791874363302,42.813459193245315,62.275443340749455,0.689556094754942,LightGBM,0
IT,Italy,2025,54.20426175903801,55,-0.7957382409619882,4.964791874363302,44.47326968528594,63.93525383279008,0.5636682679934198,LightGBM,0
BE,Belgium,2025,56.577681478275956,55,1.5776814782759558,4.964791874363302,46.846689404523886,66.30867355202803,0.37532820962482316,LightGBM,0
LU,Luxembourg,2025,57.345869191788054,55,2.3458691917880543,4.964791874363302,47.614877118035984,67.07686126554013,0.3182846092945142,LightGBM,0
NL,Netherlands,2025,59.20243202999473,55,4.202432029994732,4.964791874363302,49.47143995624266,68.9334241037468,0.19865177928067712,LightGBM,0
SI,Slovenia,2025,62.71269454664204,55,7.712694546642041,4.964791874363302,52.98170247288997,72.44368662039412,0.060154500305361014,LightGBM,0
AT,Austria,2025,64.22389804232729,55,9.223898042327292,4.964791874363302,54.49290596857522,73.95489011607937,0.031594308649604406,LightGBM,0
DE,Germany,2025,67.96021734380676,55,12.960217343806761,4.964791874363302,58.22922527005469,77.69120941755884,0.004521488556416882,LightGBM,0
